var	rel.inf
ATTENDANCE_RATE	58.21226691455104
PER_SWD	8.338627080632197
PER_SUSPENSIONS	5.991624175035117
PER_ELL	5.066432024141406
NUM_TEACH	2.700950397672024
PER_ECDIS	2.2037513437652
PER_TEACH_INEXP	1.9899515374647545
OVERALL_STATUS	1.9609873381053289
PER_STATE_LOCAL_EXP	1.9155451079070476
PER_BLACK	1.3501107323179469
