ENTITY_CD,INSTITUTION_ID,ENTITY_NAME,GRAD_RATE,ATTENDANCE_RATE,PER_FREE_LUNCH,PER_REDUCED_LUNCH,NUM_PRINC,NUM_TEACH,NUM_COUNSELORS,NUM_SOCIAL,PER_SUSPENSIONS,PER_ELL,PER_AM_IND,PER_BLACK,PER_HISP,PER_ASIAN,PER_WHITE,PER_Multi,PER_SWD,PER_FEMALE,PER_MALE,PER_ECDIS,PER_MIGRANT,PER_HOMELESS,PER_FOSTER,PER_ARMED,PER_TEACH_INEXP,PER_PRINC_INEXP,PER_OUT_CERT,OVERALL_STATUS,NEEDS_INDEX,PUPIL_COUNT_TOT,PER_FEDERAL_EXP,PER_STATE_LOCAL_EXP
310200011399,800000065456,HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY (THE),86.8,84,75,1,1,22,2,0,3,12,0,23,47,25,3,2,20,56,44,76,0,9,0,0,41,0,43,Good Standing,1,304,928,12242
310200011419,800000046830,LANDMARK HIGH SCHOOL,71.6,81,79,3,1,28,2,0,2,5,1,34,59,3,2,0,23,54,46,82,0,7,0,0,32,0,73,Good Standing,1,330,1135,14534
310200011437,800000069139,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,78.4,83,79,2,1,38,2,2,3,9,1,25,63,6,3,2,26,33,67,81,0,11,0,0,18,0,30,Good Standing,1,476,984,15301
310200011507,800000070863,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,93.2,92,57,2,1,35,4,2,2,4,1,31,54,6,7,1,22,20,80,58,0,7,0,0,29,100,48,Good Standing,1,456,892,14213
310200011551,800000057158,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,88.9,90,52,4,1,41,2,0,2,2,1,17,41,8,27,7,23,35,65,55,0,6,0,0,17,0,52,Good Standing,1,532,235,15270
310300011402,800000065458,URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS (THE),77.2,82,81,5,1,30,1,2,4,14,1,28,58,2,9,2,24,47,53,85,0,9,0,0,57,100,63,Good Standing,1,303,869,17896
310300011479,800000046819,BEACON HIGH SCHOOL,99.2,97,34,3,1,83,4,0,0,0,1,14,20,9,47,10,13,63,37,37,0,0,0,0,23,0,35,Good Standing,1,1423,52,9147
310300011541,800000057131,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,98.8,97,52,8,1,30,2,1,0,0,0,16,31,27,21,5,14,58,42,60,0,3,0,0,30,0,8,Good Standing,1,441,84,11646
310400011495,800000046822,PARK EAST HIGH SCHOOL,96.9,95,74,7,1,34,2,0,0,4,1,25,62,7,2,3,18,49,51,81,0,4,0,0,26,0,56,Good Standing,1,390,696,14950
310400011680,800000046715,HERITAGE SCHOOL (THE),78.8,90,87,3,1,24,2,0,3,7,0,26,65,4,3,1,22,51,49,90,0,6,0,0,21,0,14,Good Standing,1,318,710,14362
310500011285,800000058112,HARLEM RENAISSANCE HIGH SCHOOL,31.4,60,86,1,1,18,2,0,1,15,1,49,44,2,3,0,32,54,46,88,0,12,0,0,17,100,38,Targeted Support and Improvement,1,203,1112,23041
310500860858,800000056596,KIPP SUCCESS THROUGH TEAMWORK ACHIEVE & RESPON COL PREP CHARTER SCH,97.2,94,80,4,2,143,0,5,11,4,2,48,48,1,0,1,27,50,50,85,0,11,0,0,13,50,76,Good Standing,7,1001,834,19056
310500860864,800000057519,HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL,96.2,95,78,7,3,65,8,0,7,3,1,80,17,0,1,1,18,54,46,86,0,11,0,0,28,33,45,Good Standing,7,1141,627,21547
310600011346,800000059614,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,83.7,88,89,1,1,56,2,2,2,17,0,7,90,1,2,0,20,50,50,90,0,13,0,0,21,0,61,Good Standing,1,699,609,13132
310600011467,800000046762,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,72.7,81,90,1,1,47,2,0,1,39,0,14,84,1,2,0,26,49,51,90,0,21,0,0,23,0,8,Good Standing,1,482,1348,17512
310600011468,800000046756,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,74.1,89,96,2,1,43,2,0,1,39,0,15,81,2,1,1,19,51,49,98,0,20,0,0,26,0,14,Good Standing,1,405,1684,21589
320700011379,800000060401,JILL CHAIFETZ TRANSFER HIGH SCHOOL,26.8,60,83,0,1,23,0,1,2,9,0,29,66,2,1,1,29,52,48,83,0,10,0,0,35,100,61,Comprehensive Support and Improvement,1,205,945,18783
320700011500,800000045662,HOSTOS-LINCOLN ACADEMY OF SCIENCE,90.2,92,79,2,1,40,2,0,2,4,1,23,73,2,1,0,21,51,49,81,0,8,0,0,20,0,60,Good Standing,1,556,1089,12601
320700011600,800000045600,ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,78.6,87,90,3,1,43,3,0,3,19,1,21,76,0,1,0,27,13,87,92,0,11,0,0,23,0,32,Good Standing,1,460,1333,18913
320700860920,800000061083,UNIVERSITY PREP CHARTER HIGH SCHOOL,97.9,95,80,6,0,0,0,0,0,7,0,36,61,2,1,0,13,57,43,87,0,6,0,0,0,0,70,Good Standing,7,434,233,18513
320800011293,800000058068,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TECHNOLOGY,74,85,74,0,1,38,2,0,1,6,1,25,64,4,7,0,28,59,41,74,0,6,0,0,45,0,37,MISSING,1,478,1051,12286
320800011530,800000045631,BANANA KELLY HIGH SCHOOL,59.6,83,88,1,1,36,2,0,2,17,1,35,62,1,1,1,29,44,56,89,0,15,0,0,58,0,55,Comprehensive Support and Improvement,1,344,2143,21932
320900011241,800000058089,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,89.4,88,91,4,1,60,2,0,2,13,1,29,69,0,0,0,29,49,51,95,0,11,0,0,50,100,57,Good Standing,1,604,1231,15630
320900011250,800000059076,EXIMIUS COLLEGE PREPARATORY ACADEMY,88.1,89,81,1,1,34,3,0,0,9,1,32,65,1,0,1,25,52,48,82,0,10,0,0,44,0,37,Good Standing,1,423,1115,13729
320900011260,800000059106,BRONX CENTER FOR SCIENCE AND MATHEMATICS,93.6,91,85,3,1,36,3,0,1,6,1,20,68,7,3,1,23,54,46,88,0,9,0,0,25,0,70,Good Standing,1,449,950,14151
