"ENTITY_CD","SCHOOL_NAME","NUM_PRINC","NUM_TEACH","NUM_COUNSELORS","NUM_SOCIAL"
"022601060005","WELLSVILLE ELEMENTARY SCHOOL",1,47,1,1
"022902040001","BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL",1,42,2,0
"022902040002","BOLIVAR-RICHBURG ELEMENTARY SCHOOL",3,32,1,0
"022902040003","BOLIVAR-RICHBURG PRE-K PROGRAM",3,0,0,0
"030101060001","CHENANGO FORKS ELEMENTARY SCHOOL",1,44,0,1
"030101060003","CHENANGO FORKS HIGH SCHOOL",1,42,3,0
"030101060004","CHENANGO FORKS MIDDLE SCHOOL",1,31,1,0
"030200010002","CALVIN COOLIDGE SCHOOL",1,30,1,0
"030200010005","BENJAMIN FRANKLIN ELEMENTARY SCHOOL",1,48,0,3
"030200010008","THOMAS JEFFERSON SCHOOL",1,30,0,2
"030200010011","MACARTHUR SCHOOL",1,43,0,1
"030200010012","THEODORE ROOSEVELT SCHOOL",1,43,1,0
"030200010014","WOODROW WILSON SCHOOL",1,45,0,2
"030200010015","EAST MIDDLE SCHOOL",1,69,2,1
"030200010016","WEST MIDDLE SCHOOL",1,68,2,1
"030200010021","BINGHAMTON HIGH SCHOOL",1,133,6,2
"030200010022","HORACE MANN SCHOOL",1,32,0,1
"030501040001","W A OLMSTED ELEMENTARY SCHOOL",1,31,2,0
"030501040003","HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL",1,36,2,0
"030601060001","BROOKSIDE ELEMENTARY SCHOOL",1,27,0,1
"030601060004","F P DONNELLY SCHOOL",1,18,0,1
"030601060005","RICHARD T STANK MIDDLE SCHOOL",1,32,2,1
"030601060006","SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL",1,50,2,1
"030701060001","CHENANGO VALLEY HIGH SCHOOL",1,46,2,1
"030701060003","CHENANGO BRIDGE ELEMENTARY SCHOOL",1,29,0,0
"030701060004","PORT DICKINSON ELEMENTARY SCHOOL",1,24,0,1
"030701060005","CHENANGO VALLEY MIDDLE SCHOOL",1,38,2,1
"031101060003","HOMER BRINK SCHOOL",1,49,1,1
"031101060004","MAINE MEMORIAL SCHOOL",1,33,0,1
"031101060005","MAINE-ENDWELL MIDDLE SCHOOL",1,48,2,1
"031101060006","MAINE-ENDWELL SENIOR HIGH SCHOOL",1,55,3,0
"031301040002","DEPOSIT ELEMENTARY SCHOOL",1,19,0,1
"031301040003","DEPOSIT MIDDLE-SENIOR HIGH SCHOOL",2,32,2,1
"031401060002","TIOUGHNIOGA RIVERSIDE ACADEMY",1,52,3,1
"031401060004","WHITNEY POINT SENIOR HIGH SCHOOL",1,38,2,1
"031401060005","CARYL E ADAMS PRIMARY SCHOOL",1,38,1,1
"031501060001","CHARLES F JOHNSON JR ELEMENTARY SCHOOL",1,28,0,0
