"","ENTITY_CD","ENTITY_NAME","PER_ELL","PER_AM_IND","PER_BLACK","PER_HISP","PER_ASIAN","PER_WHITE","PER_Multi","PER_SWD","PER_FEMALE","PER_MALE","PER_ECDIS","PER_MIGRANT","PER_HOMELESS","PER_FOSTER","PER_ARMED"
"2727","332000010163","PS 163 BATH BEACH",21,0,2,37,28,33,0,21,49,51,83,0,7,0,0
"2728","332000010164","PS 164 CAESAR RODNEY",13,1,1,40,44,14,0,20,49,51,82,0,9,0,0
"2729","332000010170","RALPH A FABRIZIO SCHOOL",32,1,0,17,58,24,0,17,45,55,90,0,11,0,0
"2730","332000010176","PS 176 OVINGTON",23,0,0,20,68,11,1,13,48,52,86,0,5,0,0
"2731","332000010179","PS 179 KENSINGTON",43,1,4,24,54,16,0,19,51,49,84,0,10,0,0
"2732","332000010180","SEEALL ACADEMY (THE)",29,0,1,28,45,24,1,16,47,53,86,0,3,0,0
"2733","332000010185","PS 185 WALTER KASSENBROCK",7,0,1,21,7,68,3,20,50,50,44,0,0,0,0
"2734","332000010186","PS 186 DR IRVING A GLADSTONE",34,1,0,27,41,30,0,19,49,51,77,0,2,0,0
"2735","332000010187","IS 187 CHRISTA MCAULIFFE SCHOOL (THE)",3,0,1,6,69,23,1,10,52,48,61,0,0,0,0
"2736","332000010192","PS 192 MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY",29,0,2,47,17,33,0,23,52,48,83,0,7,0,0
"2737","332000010200","PS 200 BENSON SCHOOL",28,1,1,21,33,44,1,14,48,52,82,0,2,0,0
"2738","332000010201","JHS 201 DYKER HEIGHTS (THE)",10,0,1,16,54,29,0,14,46,54,73,0,2,0,0
"2739","332000010204","PS 204 VINCE LOMBARDI",14,0,0,19,53,27,0,18,47,53,73,0,1,0,0
"2740","332000010205","PS 205 CLARION",24,0,1,21,58,19,0,21,50,50,67,0,4,0,0
"2741","332000010220","JHS 220 JOHN J PERSHING",32,0,1,43,50,5,0,17,47,53,86,0,8,0,0
"2742","332000010223","JHS 223 MONTAUK (THE)",28,0,2,27,58,12,0,18,46,54,97,0,5,0,0
"2743","332000010227","JHS 227 EDWARD B SHALLOW",28,0,1,30,58,12,0,16,45,55,91,0,6,0,0
"2744","332000010229","PS 229 DYKER",12,0,2,12,60,24,1,15,51,49,58,0,2,0,0
"2745","332000010247","PS 247",27,0,0,12,52,35,0,20,51,49,66,0,1,0,0
"2746","332000010259","JHS 259 WILLIAM MCKINLEY",12,0,1,19,45,33,1,13,47,53,79,0,3,0,0
"2747","332000010264","PS 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS",11,0,3,34,13,48,1,27,50,50,67,0,2,0,3
"2748","332000010310","SCHOOL FOR FUTURE LEADERS (THE)",42,0,0,8,87,5,0,13,50,50,96,0,0,0,0
"2749","332000010503","PS 503 SCHOOL OF DISCOVERY (THE)",55,0,1,74,20,5,0,25,49,51,95,0,35,0,0
"2750","332000010506","PS 506 SCHOOL OF JOURNALISM AND TECHNOLOGY (THE)",32,0,1,64,31,4,0,21,50,50,94,0,8,0,0
"2751","332000010682","ACADEMY OF TALENTED SCHOLARS (THE)",8,0,4,12,23,59,2,31,45,55,43,0,1,0,0
"2752","332000010686","BROOKLYN SCHOOL OF INQUIRY",10,0,5,5,21,67,2,9,51,49,28,0,0,0,0
"2753","332000010748","PS 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS",14,0,1,28,37,33,1,16,51,49,74,0,1,0,0
"2754","332000010971","SCHOOL OF MATH, SCIENCE AND HEALTHY LIVING (THE)",43,0,1,45,44,10,0,16,49,51,92,0,5,0,0
"2755","332000011445","NEW UTRECHT HIGH SCHOOL",19,0,3,30,41,26,0,17,44,56,81,0,8,0,0
"2756","332000011485","HIGH SCHOOL OF TELECOMMUNICATIONS ARTS AND TECHNOLOGY",9,0,6,50,21,20,3,20,41,59,78,0,3,0,0
"2757","332000011490","FORT HAMILTON HIGH SCHOOL",15,0,3,32,28,35,2,16,48,52,73,0,4,0,0
"2758","332000011505","FRANKLIN DELANO ROOSEVELT HIGH SCHOOL",32,1,10,34,38,17,0,15,41,59,80,0,10,0,0
"2759","332000011609","URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE",12,1,14,20,48,16,1,16,100,0,92,0,7,0,0
"2760","332100010090","PS 90 EDNA COHEN SCHOOL",23,2,17,56,12,13,1,19,49,51,83,0,9,0,0
"2761","332100010095","PS 95 GRAVESEND (THE)",13,0,7,33,37,22,1,19,48,52,72,0,1,0,1
"2762","332100010096","IS 96 SETH LOW",29,0,8,28,33,29,1,23,48,52,76,0,5,0,0
"2763","332100010097","PS 97 HIGHLAWN (THE)",30,0,2,22,51,25,0,19,45,55,67,0,3,0,0
"2764","332100010098","IS 98 BAY ACADEMY",2,1,3,9,28,58,2,10,54,46,52,0,0,0,0
"2765","332100010099","PS 99 ISAAC ASIMOV",27,0,6,17,43,33,0,15,48,52,73,0,3,0,0
"2766","332100010100","PS 100 CONEY ISLAND SCHOOL (THE)",21,1,3,5,4,87,1,18,51,49,50,0,4,0,0
"2767","332100010101","PS 101 VERRAZANO (THE)",21,0,1,16,52,29,1,27,49,51,63,0,0,0,0
"2768","332100010121","PS 121 NELSON A ROCKEFELLER",22,1,4,43,19,33,1,28,45,55,66,0,6,0,0
"2769","332100010128","PS 128 BENSONHURST",45,0,1,21,27,50,0,20,47,53,85,0,0,0,0
"2770","332100010153","PS 153 HOMECREST",28,3,1,37,28,31,0,25,49,51,80,0,2,0,0
"2771","332100010177","PS 177 MARLBORO (THE)",35,1,1,31,30,37,0,20,53,47,77,0,5,0,0
"2772","332100010188","PS 188 MICHAEL E BERDY",8,1,49,36,4,8,2,29,50,50,89,0,5,0,0
"2773","332100010199","PS 199 FREDERICK WACHTEL",30,1,6,21,24,47,1,26,48,52,84,0,8,0,0
"2774","332100010209","PS 209 MARGARET MEAD",21,0,3,25,31,40,1,30,48,52,74,0,7,0,0
"2775","332100010212","PS 212 LADY DEBORAH MOODY",22,0,12,37,33,17,1,28,51,49,85,0,7,0,0
"2776","332100010215","PS 215 MORRIS H WEISS",23,1,2,25,25,47,1,16,49,51,71,0,2,0,0
"2777","332100010216","PS 216 ARTURO TOSCANINI",26,1,3,18,27,50,1,17,51,49,74,0,3,0,0
"2778","332100010225","PS 225 EILEEN E ZAGLIN (THE)",41,1,2,33,21,42,0,21,43,57,83,0,4,0,0
"2779","332100010226","PS 226 ALFRED DE B MASON",27,1,2,31,30,36,0,19,46,54,81,0,6,0,0
"2780","332100010228","IS 228 DAVID A BOODY",13,0,5,25,29,39,1,17,46,54,78,0,3,0,0
"2781","332100010238","PS 238 ANNE SULLIVAN",39,0,4,50,21,23,1,23,46,54,87,0,10,0,0
