"","ENTITY_CD","NUM_TEACH","PER_TEACH_INEXP","NUM_PRINC","PER_PRINC_INEXP"
"197","030200010005",48,31,1,100
"198","030200010008",30,20,1,100
"199","030200010011",43,12,1,100
"200","030200010012",43,16,1,0
"201","030200010014",45,11,1,0
"202","030200010015",69,26,1,100
"203","030200010016",68,21,1,0
"204","030200010021",133,11,1,100
"205","030200010022",32,16,1,0
"206","030501040000",65,14,2,50
"207","030501040001",31,10,1,100
"208","030501040003",36,17,1,0
"209","030601060000",112,6,4,25
"210","030601060001",27,7,1,0
"211","030601060004",18,17,1,0
"212","030601060005",32,3,1,100
"213","030601060006",50,4,1,0
"214","030701060000",121,17,4,25
"215","030701060001",46,15,1,100
"216","030701060003",29,21,1,0
"217","030701060004",24,8,1,0
"218","030701060005",38,29,1,0
"219","031101060000",179,10,4,0
"220","031101060003",49,12,1,0
"221","031101060004",33,9,1,0
"222","031101060005",48,17,1,0
"223","031101060006",55,5,1,0
"224","031301040000",48,17,3,33
"225","031301040002",19,11,1,0
"226","031301040003",32,22,2,50
"227","031401060000",126,14,3,0
"228","031401060002",52,8,1,0
"229","031401060004",38,11,1,0
"230","031401060005",38,26,1,0
"231","031501060000",303,12,7,43
"232","031501060001",28,14,1,0
"233","031501060002",37,11,1,100
"234","031501060007",17,35,1,100
"235","031501060009",83,10,1,0
"236","031501060012",99,9,1,0
"237","031501060013",26,19,1,0
"238","031501060014",27,4,1,100
"239","031502060000",194,24,3,67
"240","031502060001",41,22,1,100
"241","031502060003",41,46,1,100
"242","031502060005",50,24,1,0
"243","031502060006",73,12,1,100
"244","031601060000",293,10,8,25
"245","031601060021",31,19,1,0
"246","031601060022",31,16,1,0
"247","031601060023",32,9,1,0
"248","031601060026",28,7,1,100
"249","031601060028",34,15,1,0
"250","031601060041",78,9,1,0
"251","031601060051",86,10,2,50
"252","031701060000",139,9,5,20
"253","031701060002",23,13,1,0
"254","031701060003",22,5,1,0
"255","031701060004",54,11,2,50
"256","031701060007",48,6,1,0
"257","040204040000",32,16,1,0
"258","040204040001",32,16,1,0
"259","040302060000",92,13,2,0
"260","040302060001",56,11,1,0
"261","040302060002",39,15,1,0
"262","040901040000",53,2,3,33
"263","040901040001",27,4,2,50
