"INSTITUTION_ID","ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","COHORT","STATE_BASELINE","SCHOOL_BASELINE","COHORT_COUNT","GRAD_RATE","MIP","STATE_MIP","LONG_TERM_GOAL","EXCEED_LT_GOAL","MET_SH_TARGET","MET_AG_TARGET","END_GOAL","COHORT_LEVEL","OVERRIDE","CHANGE_COHORT","CHANGE_GRAD_RATE","CHANGE_SH_TARGET","CHANGE_AG_TARGET","CHANGE_COHORT_LEVEL","DISPLAY_COHORT_COUNT"
"800000054944","031101060006","MAINE-ENDWELL SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","95.9","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054956","031301040003","DEPOSIT MIDDLE-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","99.2","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054928","031401060004","WHITNEY POINT SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","85.5","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000054938","031501060012","UNION-ENDICOTT HIGH SCHOOL","2019","All Students","Combined","s","s","s","90.8","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000054898","031502060006","JOHNSON CITY SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","87.2","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000054868","031601060051","VESTAL SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","96.6","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054837","031701060007","WINDSOR CENTRAL HIGH SCHOOL","2019","All Students","Combined","s","s","s","90.2","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000054819","040204040001","WEST VALLEY CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","90.7","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000054809","040302060001","ALLEGANY-LIMESTONE HIGH SCHOOL","2019","All Students","Combined","s","s","s","91.8","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000054790","040901040002","ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL","2019","All Students","Combined","s","s","s","97.8","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054793","041101040002","FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","96.3","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054771","041401040001","HINSDALE CENTRAL SCHOOL","2019","All Students","Combined","s","s","s","83.8","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000054758","042302040003","CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL","2019","All Students","Combined","s","s","s","89","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054739","042400010013","OLEAN SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","84","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000054710","042801060006","GOWANDA HIGH SCHOOL","2019","All Students","Combined","s","s","s","86.4","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000054691","042901040002","PORTVILLE JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","94","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054669","043001040002","RANDOLPH SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","92.4","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054623","043200050002","SALAMANCA JUNIOR/SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","83.1","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000054619","043501060006","PIONEER SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","90.3","s","s","s","s","s","s","s","3",NA,NA,NA,NA,NA,NA,NA
"800000054575","050100010013","AUBURN HIGH SCHOOL","2019","All Students","Combined","s","s","s","81.5","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000054542","050301040002","WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","92.1","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054530","050401040003","CATO-MERIDIAN SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","96.2","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054510","050701040005","SOUTHERN CAYUGA  7-12 SECONDARY SCHOOL","2019","All Students","Combined","s","s","s","87.3","s","s","s","s","s","s","s","2",NA,NA,NA,NA,NA,NA,NA
"800000054528","051101040004","PORT BYRON SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","91","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054475","051301040003","MORAVIA JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","91.3","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054485","051901040005","UNION SPRINGS MIDDLE SCHOOL HIGH SCHOOL","2019","All Students","Combined","s","s","s","93.3","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054461","060201060003","SOUTHWESTERN SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","93.8","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
"800000054449","060301040004","FREWSBURG JUNIOR-SENIOR HIGH SCHOOL","2019","All Students","Combined","s","s","s","93.7","s","s","s","s","s","s","s","4",NA,NA,NA,NA,NA,NA,NA
