"","ENTITY_CD","ENTITY_NAME","YEAR","ATTENDANCE_RATE"
"88","020601040001","ANDOVER SCHOOL",2019,94
"89","020702040000","GENESEE VALLEY CENTRAL SCHOOL DISTRICT",2019,92
"90","020702040001","GENESEE VALLEY CENTRAL SCHOOL",2019,92
"91","020801040000","BELFAST CENTRAL SCHOOL DISTRICT",2019,96
"92","020801040001","BELFAST SCHOOL",2019,96
"93","021102040000","CANASERAGA CENTRAL SCHOOL DISTRICT",2019,95
"94","021102040001","CANASERAGA SCHOOL",2019,95
"95","021601040000","FRIENDSHIP CENTRAL SCHOOL DISTRICT",2019,95
"96","021601040004","FRIENDSHIP CENTRAL SCHOOL",2019,95
"97","022001040000","FILLMORE CENTRAL SCHOOL DISTRICT",2019,96
"98","022001040001","FILLMORE CENTRAL SCHOOL",2019,96
"99","022101040000","WHITESVILLE CENTRAL SCHOOL DISTRICT",2019,96
"100","022101040001","WHITESVILLE CENTRAL SCHOOL",2019,96
"101","022302040000","CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT",2019,95
"102","022302040001","CUBA-RUSHFORD HIGH SCHOOL",2019,94
"103","022302040002","CUBA-RUSHFORD ELEMENTARY SCHOOL",2019,95
"104","022302040004","CUBA-RUSHFORD MIDDLE SCHOOL",2019,95
"105","022401040000","SCIO CENTRAL SCHOOL DISTRICT",2019,95
"106","022401040003","SCIO CENTRAL SCHOOL",2019,95
"107","022601060000","WELLSVILLE CENTRAL SCHOOL DISTRICT",2019,95
"108","022601060004","WELLSVILLE SENIOR HIGH SCHOOL",2019,94
"109","022601060005","WELLSVILLE ELEMENTARY SCHOOL",2019,95
"110","022902040000","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT",2019,94
"111","022902040001","BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL",2019,94
"112","022902040002","BOLIVAR-RICHBURG ELEMENTARY SCHOOL",2019,95
"113","022902040003","BOLIVAR-RICHBURG PRE-K PROGRAM",2019,NA
"114","030101060000","CHENANGO FORKS CENTRAL SCHOOL DISTRICT",2019,95
"115","030101060001","CHENANGO FORKS ELEMENTARY SCHOOL",2019,96
"116","030101060003","CHENANGO FORKS HIGH SCHOOL",2019,95
"117","030101060004","CHENANGO FORKS MIDDLE SCHOOL",2019,95
"118","030200010000","BINGHAMTON CITY SCHOOL DISTRICT",2019,90
"119","030200010002","CALVIN COOLIDGE SCHOOL",2019,91
"120","030200010005","BENJAMIN FRANKLIN ELEMENTARY SCHOOL",2019,93
"121","030200010008","THOMAS JEFFERSON SCHOOL",2019,94
"122","030200010011","MACARTHUR SCHOOL",2019,93
"123","030200010012","THEODORE ROOSEVELT SCHOOL",2019,93
"124","030200010014","WOODROW WILSON SCHOOL",2019,92
"125","030200010015","EAST MIDDLE SCHOOL",2019,92
"126","030200010016","WEST MIDDLE SCHOOL",2019,92
"127","030200010021","BINGHAMTON HIGH SCHOOL",2019,84
"128","030200010022","HORACE MANN SCHOOL",2019,90
"129","030501040000","HARPURSVILLE CENTRAL SCHOOL DISTRICT",2019,93
"130","030501040001","W A OLMSTED ELEMENTARY SCHOOL",2019,93
"131","030501040003","HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL",2019,93
"132","030601060000","SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT",2019,95
