"ENTITY_CD","PER_OUT_CERT"
"091101060005",0
"091200010000",5
"091200010001",0
"091200010003",3
"091200010004",5
"091200010005",13
"091200010006",2
"091402060000",1
"091402060002",0
"091402060004",3
"091402060005",0
"091402060007",3
"100308020000",19
"100308020001",30
"100308020002",0
"100501040000",2
"100501040003",2
"100501040006",0
"100902040000",2
"100902040003",0
"100902040004",0
"101001040000",3
"101001040001",0
"101001040002",3
"101001040006",9
"101300010000",2
"101300010001",5
"101300010003",0
"101300010004",3
"101401040000",3
"101401040004",0
"101401040005",2
"101401040006",6
"101601040000",0
"101601040002",0
"101601040003",0
"110101040000",9
"110101040001",0
"110101040002",29
"110101040003",0
"110200010000",1
"110200010003",0
"110200010004",0
"110200010008",0
"110200010009",0
"110200010010",0
"110200010011",0
"110200010012",9
"110304040000",5
"110304040001",4
"110304040002",6
"110701060000",2
"110701060001",0
"110701060002",3
"110701060003",0
"110701060006",2
"110901040000",1
"110901040001",0
"110901040002",0
"111111111111",11
"120102040000",17
"120102040001",18
"120301040000",17
"120301040001",19
"140207060000",2
"140207060002",0
"140207060003",0
"140207060005",6
"140207060006",1
"140207060007",0
"140207060008",0
"140301030000",2
"140301030001",0
"140301030004",3
"140301030005",3
"140600010000",9
"140600010001",3
"140600010003",10
"140600010006",9
"140600010017",0
"140600010018",3
"140600010019",3
"140600010027",4
"140600010031",3
"140600010033",31
"140600010037",13
"140600010042",5
"140600010043",4
"140600010045",1
"140600010053",3
"140600010054",0
"140600010056",19
"140600010059",5
"140600010061",0
"140600010064",3
"140600010065",0
"140600010066",25
"140600010069",3
"140600010072",0
"140600010074",6
"140600010076",23
"140600010080",9
"140600010081",2
"120401040000",0
"120401040001",0
"120501040000",9
"120501040001",0
"120501040002",14
"120701040000",3
"120701040001",4
"120906040000",9
"120906040001",0
"120906040002",15
"121401040000",5
"121401040001",5
"121502040000",3
"121502040001",3
"121601060000",3
"121601060002",0
"121601060005",18
"121601060006",5
"121701040000",6
"121701040001",7
"121702040000",5
"121702040001",6
"121901040000",0
"121901040001",0
"121901040002",0
"121901040003",0
"130200010000",2
"130200010001",0
"130200010002",4
"130200010003",4
"130200010004",3
"130200010005",0
"130200010006",0
"130502020000",1
"130502020001",0
"130502020002",0
"130502020003",0
"130502020004",0
"130801060000",2
"130801060002",0
"130801060003",0
"130801060005",0
"130801060006",6
"130801060007",0
"130801060008",0
"131101040000",12
"131101040004",7
"131101040006",0
"131101040007",14
"131201040000",2
"131201040001",0
"131201040002",0
"131201040003",0
"131301040000",0
"131301040001",0
"131301040002",0
"131301040003",0
"131500010000",1
"131500010001",0
"131500010003",0
"131500010006",0
"131500010007",0
"131500010009",0
"131500010010",0
"131500010011",4
"131500010013",0
"131601060000",0
"131601060001",0
"131601060002",0
"131601060004",0
"131601060005",0
"131601060008",0
"131601060010",0
"131601060011",0
"131601060012",0
"131601060013",0
"131601060014",0
"131601060015",0
"131602020000",1
"131602020001",0
"131602020003",0
"131602020004",3
"131602020005",2
"131701060000",1
"131701060002",0
"131701060004",6
"131701060006",0
"131701060008",0
"131801040000",0
"131801040001",0
"131801040002",0
"131801040003",0
"132101060000",2
"132101060001",0
"132101060002",0
"132101060003",0
"132101060004",3
"132101060005",5
"132101060006",0
"132101060007",0
"132101060008",0
"132101060009",2
"132101060010",0
"132101060011",2
"132101060012",0
"132101060013",2
"132101060015",2
"132101060016",20
"132201040000",0
"132201040001",0
"132201040002",0
"132201040003",0
"132201040005",0
"140101060000",0
"140101060003",0
"140101060005",0
"140101060006",0
"140101060007",0
"140201060000",0
"140201060001",0
"140201060002",0
"140201060005",0
"140201060006",0
"140203060000",0
"140203060001",0
"140203060002",0
"140203060003",0
"140203060004",0
"140203060005",0
"140203060007",0
"140203060008",0
"140203060009",2
"140203060010",0
"140203060011",0
"140203060012",0
"140203060013",0
"140203060015",0
"141301060004",0
"141301060005",4
"141301060006",0
"141301060007",0
"141401060000",1
"141401060001",0
"141401060003",3
"141401060004",0
"141401060008",4
"141401060009",0
"141501060000",1
"141501060001",0
"141501060003",0
"141501060004",2
"141501060005",2
"141501060006",0
"141601060000",0
"141601060001",0
"141601060002",0
"141601060003",0
"141601060004",0
"141601060006",0
"141601060007",0
"141604060000",1
"141604060003",2
"141604060004",0
"141604060005",0
"141604060006",0
"141604060007",1
"141604060008",2
"141701040000",3
"141701040001",0
"141701040002",0
"141701040004",0
"141800010000",3
"141800010005",4
"141800010008",3
"141800010010",3
"141800010011",0
"141800860044",18
"141901060000",0
"141901060001",0
"141901060004",0
"141901060005",0
"141901060006",0
"141901060007",0
"141901060008",0
"141901060010",0
"142101040000",1
"142101040001",0
"142101040002",0
"142101040003",0
"142201040000",5
"142201040001",13
"142201040002",0
"142301060000",1
"142301060001",0
"142301060002",1
"142301060003",0
"142301060005",0
"142301060006",4
"142301060007",0
"142500010000",2
"142500010003",0
"142500010005",0
"142500010007",0
"142500010009",3
"142601030000",2
"140600010082",0
"140600010084",0
"140600010093",1
"140600010094",0
"140600010097",18
"140600010098",13
"140600010101",2
"140600010102",4
"140600010104",4
"140600010105",20
"140600010108",36
"140600010110",22
"140600010118",5
"140600010119",7
"140600010122",3
"140600010126",2
"140600010128",4
"140600010129",6
"140600010130",6
"140600010132",24
"140600010133",11
"140600010135",7
"140600010140",32
"140600010141",27
"140600010197",8
"140600010308",9
"140600010309",3
